trans_date_trans_time,cc_num,merchant,category,amt,gender,street,city,state,job,dob,trans_num,merch_lat,merch_long,is_fraud,trans_date,is_fraud_cat,trans_month,trans_year,name,trans_id
2020-06-21 12:14:25,2291163933867244,fraud_Kirlin and Sons,personal_care,2.86,M,351 Darlene Green,Columbia,SC,Mechanical engineer,1968-03-19,2da90c7d74bd46a0caf3777415b3ebd3,33.986391,-81.200714,0,2020-06-21,F,6,2020,Jeff Elliott,1
2020-06-21 12:14:33,3573030041201292,fraud_Sporer-Keebler,personal_care,29.84,F,3638 Marsh Union,Altonah,UT,"Sales professional, IT",1990-01-17,324cc204407e99f51b0d6ca0055005e7,39.450498,-109.960431,0,2020-06-21,F,6,2020,Joanne Williams,2
2020-06-21 12:14:53,3598215285024754,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,41.28,F,9333 Valentine Point,Bellmore,NY,"Librarian, public",1970-10-21,c81755dbbbea9d5c77f094348a7579be,40.49581,-74.196111,0,2020-06-21,F,6,2020,Ashley Lopez,3
2020-06-21 12:15:15,3591919803438423,fraud_Haley Group,misc_pos,60.05,M,32941 Krystal Mill Apt. 552,Titusville,FL,Set designer,1987-07-25,2159175b9efe66dc301f149d3d5abf8c,28.812398,-80.883061,0,2020-06-21,F,6,2020,Brian Williams,4
2020-06-21 12:15:17,3526826139003047,fraud_Johnston-Casper,travel,3.19,M,5783 Evan Roads Apt. 465,Falmouth,MI,Furniture designer,1955-07-06,57ff021bd3f328f8738bb535c302a31b,44.959148,-85.884734,0,2020-06-21,F,6,2020,Nathan Massey,5
2020-06-21 12:16:10,3596357274378601,"fraud_Goyette, Howell and Collier",shopping_pos,4.37,M,4138 David Fall,Morrisdale,PA,Advice worker,1973-05-27,71a1da150d1ce510193d7622e08e784e,41.546067,-78.120238,0,2020-06-21,F,6,2020,David Everett,9
2020-06-21 12:16:11,3546897637165774,fraud_Kilback Group,food_dining,66.54,F,7921 Robert Port Suite 343,Prairie Hill,TX,Barrister,1956-05-30,a7915132c7c4240996ba03a47f81e3bd,31.782919,-96.366185,0,2020-06-21,F,6,2020,Kayla Obrien,10
2020-06-21 12:16:20,2242542703101233,"fraud_Feil, Hilpert and Koss",food_dining,7.01,M,43235 Mckenzie Views Apt. 837,Westport,KY,Pensions consultant,1996-04-10,3b8e4d02d9e1a3bf97cf449eb0317f2c,38.977546,-84.727994,0,2020-06-21,F,6,2020,Samuel Jenkins,11
2020-06-21 12:16:47,571465035400,fraud_Gottlieb Group,kids_pets,42.4,M,45654 Hess Rest,Fort Washakie,WY,Freight forwarder,1976-02-26,fa3071565d94fb286cb0ed398c6d61d3,42.687774,-108.670054,0,2020-06-21,F,6,2020,Louis Fisher,12
2020-06-21 12:17:21,6593250708747804,fraud_Connelly-Carter,home,2.91,F,244 Abbott Parkway,Loxahatchee,FL,Paramedic,1977-01-04,a21cb82e7d8fdbf4062f15c9422a4ca6,26.07846,-80.569932,0,2020-06-21,F,6,2020,Melissa Meza,13
2020-06-21 12:18:27,4988304376504,fraud_Bechtelar-Rippin,food_dining,7.93,M,977 Rita Grove Apt. 000,Rock Tavern,NY,Building surveyor,1937-03-17,d0d2b5cca5ae19e0a07dc7ef5d51e59e,40.71168,-73.668384,0,2020-06-21,F,6,2020,William Thompson,14
